fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.71,0.63,0.06,0.2,0.083,0.08,0.029,0.99855,0.367,0.73,0.96,5
0.72,0.65,0.02,0.23,0.094,0.05,0.031,0.9993,0.367,0.8,0.97,5
0.69,0.67,0.06,0.21,0.08,0.08,0.033,0.99845,0.368,0.71,0.96,5
0.75,0.53,0.06,0.26,0.086,0.2,0.044,0.9965,0.338,0.59,1.07,6
1.11,0.18,0.48,0.15,0.068,0.07,0.015,0.9973,0.322,0.64,1.01,6
0.83,0.705,0.12,0.26,0.092,0.12,0.028,0.9994,0.351,0.72,1,5
0.74,0.67,0.12,0.16,0.186,0.05,0.021,0.996,0.339,0.54,0.95,5
0.84,0.65,0.6,0.21,0.112,0.12,0.09,0.9973,0.32,0.52,0.92,5
1.03,0.53,0.48,0.25,0.063,0.06,0.025,0.9998,0.312,0.59,0.93,6
0.76,0.62,0.32,0.22,0.082,0.07,0.054,0.9966,0.336,0.52,0.94,5
1.03,0.41,0.42,0.24,0.213,0.06,0.014,0.9994,0.319,0.62,0.95,6
1.03,0.43,0.44,0.24,0.214,0.05,0.012,0.9994,0.319,0.63,0.95,6
0.74,0.29,0.38,0.17,0.062,0.09,0.03,0.9968,0.341,0.53,0.95,6
1.03,0.53,0.48,0.25,0.063,0.06,0.025,0.9998,0.312,0.59,0.93,6
0.79,0.53,0.24,0.2,0.072,0.15,0.105,0.996,0.327,0.54,0.94,6
0.9,0.46,0.31,0.28,0.093,0.19,0.098,0.99815,0.332,0.63,0.95,6
0.86,0.47,0.3,0.3,0.076,0.3,0.135,0.9976,0.33,0.53,0.94,5
0.74,0.36,0.29,0.26,0.087,0.26,0.072,0.99645,0.339,0.68,1.1,5
0.71,0.35,0.29,0.25,0.096,0.2,0.053,0.9962,0.342,0.65,1.1,6
0.96,0.56,0.23,0.34,0.102,0.37,0.092,0.9996,0.33,0.65,1.01,5
0.96,0.77,0.12,0.29,0.082,0.3,0.074,0.99865,0.33,0.64,1.04,6
0.98,0.66,0.39,0.32,0.083,0.21,0.059,0.9989,0.337,0.71,1.15,7
0.96,0.77,0.12,0.29,0.082,0.3,0.074,0.99865,0.33,0.64,1.04,6
0.98,0.66,0.39,0.32,0.083,0.21,0.059,0.9989,0.337,0.71,1.15,7
0.93,0.61,0.26,0.34,0.09,0.25,0.087,0.99975,0.324,0.62,0.97,5
0.78,0.62,0.05,0.23,0.079,0.06,0.018,0.99735,0.329,0.63,0.93,5
1.03,0.59,0.42,0.28,0.09,0.35,0.073,0.999,0.328,0.7,0.95,6
1,0.49,0.2,1.1,0.071,0.13,0.05,1.0015,0.316,0.69,0.92,6
1,0.49,0.2,1.1,0.071,0.13,0.05,1.0015,0.316,0.69,0.92,6
1.16,0.53,0.66,0.365,0.121,0.06,0.014,0.9978,0.305,0.74,1.15,7
1.03,0.44,0.5,0.45,0.107,0.05,0.013,0.998,0.328,0.83,1.15,5
1.34,0.27,0.62,0.26,0.082,0.06,0.021,1.0002,0.316,0.67,0.97,6
1.07,0.46,0.39,0.2,0.061,0.07,0.015,0.9981,0.318,0.62,0.95,5
1.02,0.36,0.64,0.29,0.122,0.1,0.041,0.998,0.323,0.66,1.25,6
1.02,0.36,0.64,0.29,0.122,0.1,0.041,0.998,0.323,0.66,1.25,6
0.8,0.58,0.28,0.32,0.066,0.21,0.114,0.9973,0.322,0.54,0.94,6
0.84,0.56,0.08,0.21,0.105,0.16,0.044,0.9958,0.313,0.52,1.1,5
0.79,0.65,0.01,0.25,0.078,0.17,0.038,0.9963,0.334,0.74,1.17,7
1.19,0.695,0.53,0.34,0.128,0.07,0.021,0.9992,0.317,0.84,1.22,7
0.89,0.43,0.45,0.19,0.052,0.06,0.016,0.9948,0.335,0.7,1.25,6
0.78,0.43,0.32,0.28,0.08,0.29,0.058,0.9974,0.331,0.64,1.03,5
1.24,0.49,0.58,0.3,0.103,0.28,0.099,1.0008,0.316,1,1.15,6
1.25,0.28,0.54,0.23,0.082,0.12,0.029,0.9997,0.311,1.36,0.98,7
1.22,0.34,0.5,0.24,0.066,0.1,0.021,1,0.312,1.18,0.92,6
1.06,0.42,0.48,0.27,0.065,0.05,0.018,0.9972,0.321,0.87,1.13,6
1.09,0.39,0.47,0.18,0.118,0.06,0.014,0.9982,0.33,0.75,0.98,6
1.09,0.39,0.47,0.18,0.118,0.06,0.014,0.9982,0.33,0.75,0.98,6
1.19,0.57,0.5,0.26,0.082,0.06,0.032,1.0006,0.312,0.78,1.07,6
0.7,0.685,0,0.19,0.067,0.4,0.063,0.9979,0.36,0.81,0.99,5
0.66,0.815,0.02,0.27,0.072,0.17,0.034,0.9955,0.358,0.89,1.23,7
1.38,0.49,0.67,0.3,0.093,0.06,0.015,0.9986,0.302,0.93,1.2,6
0.96,0.56,0.31,0.28,0.089,0.15,0.046,0.9979,0.311,0.92,1,6
0.91,0.785,0,0.26,0.093,0.11,0.028,0.9994,0.336,0.86,0.94,6
1.07,0.67,0.22,0.27,0.107,0.17,0.034,1.0004,0.328,0.98,0.99,6
0.91,0.795,0,0.26,0.096,0.11,0.026,0.9994,0.335,0.83,0.94,6
0.77,0.665,0,0.24,0.09,0.08,0.019,0.9974,0.327,0.73,0.93,5
1.35,0.53,0.79,0.48,0.12,0.23,0.077,1.0018,0.318,0.77,1.3,5
0.61,0.21,0.4,0.14,0.066,0.405,0.165,0.9912,0.325,0.59,1.19,6
0.67,0.75,0.01,0.24,0.078,0.17,0.032,0.9955,0.355,0.61,1.28,6
1.15,0.41,0.52,0.3,0.08,0.29,0.055,1.0001,0.326,0.88,1.1,5
1.05,0.42,0.66,0.295,0.116,0.12,0.029,0.997,0.324,0.75,1.17,7
1.19,0.43,0.66,0.31,0.109,0.1,0.023,1,0.315,0.85,1.04,7
1.26,0.38,0.66,0.26,0.088,0.1,0.041,1.001,0.317,0.68,0.98,6
0.82,0.7,0.23,0.2,0.099,0.14,0.081,0.9973,0.319,0.7,0.94,5
0.86,0.45,0.31,0.26,0.086,0.21,0.05,0.9982,0.337,0.91,0.99,6
1.19,0.58,0.66,0.25,0.072,0.06,0.037,0.9992,0.305,0.56,1,5
1.25,0.46,0.63,0.2,0.071,0.06,0.015,0.9988,0.299,0.87,1.02,5
1.28,0.615,0.66,0.58,0.083,0.07,0.042,1.0022,0.307,0.73,1,7
1,0.42,0.5,0.34,0.107,0.07,0.021,0.9979,0.326,0.93,1.18,6
1.28,0.615,0.66,0.58,0.083,0.07,0.042,1.0022,0.307,0.73,1,7
1.04,0.575,0.61,0.26,0.076,0.11,0.024,1,0.316,0.69,0.9,5
1.03,0.34,0.52,0.28,0.159,0.15,0.075,0.9998,0.318,0.64,0.94,5
0.94,0.27,0.53,0.24,0.074,0.06,0.018,0.9962,0.32,1.13,1.2,7
0.69,0.765,0.02,0.23,0.063,0.35,0.063,0.9975,0.357,0.78,0.99,5
0.79,0.24,0.4,0.16,0.056,0.11,0.025,0.9967,0.332,0.87,0.87,6
0.91,0.28,0.48,0.18,0.067,0.26,0.046,0.9967,0.332,1.04,1.06,6
0.74,0.55,0.22,0.22,0.106,0.12,0.072,0.9959,0.305,0.63,0.92,5
1.4,0.41,0.63,0.38,0.089,0.06,0.047,1.0014,0.301,0.81,1.08,6
1.15,0.54,0.71,0.44,0.124,0.06,0.015,0.9984,0.301,0.83,1.18,7
1.15,0.45,0.5,0.3,0.078,0.19,0.047,1.0003,0.326,1.11,1.1,6
0.94,0.27,0.53,0.24,0.074,0.06,0.018,0.9962,0.32,1.13,1.2,7
1.14,0.625,0.66,0.62,0.088,0.06,0.024,0.9988,0.311,0.99,1.33,6
0.83,0.42,0.38,0.25,0.094,0.24,0.06,0.9979,0.331,0.7,1.08,6
0.83,0.26,0.42,0.2,0.08,0.11,0.027,0.9974,0.321,0.8,0.94,6
1.37,0.415,0.68,0.29,0.085,0.17,0.043,1.0014,0.306,0.8,1,6
0.83,0.26,0.42,0.2,0.08,0.11,0.027,0.9974,0.321,0.8,0.94,6
0.83,0.26,0.42,0.2,0.08,0.11,0.027,0.9974,0.321,0.8,0.94,6
0.77,0.51,0.28,0.21,0.087,0.23,0.054,0.998,0.342,0.74,0.92,5
0.74,0.63,0.07,0.24,0.09,0.11,0.037,0.9979,0.343,0.76,0.97,6
0.78,0.54,0.26,0.2,0.088,0.23,0.048,0.9981,0.341,0.74,0.92,6
0.83,0.66,0.15,0.19,0.079,0.17,0.042,0.9972,0.331,0.54,0.96,6
0.78,0.46,0.26,0.19,0.088,0.23,0.053,0.9981,0.343,0.74,0.92,6
0.96,0.38,0.31,0.25,0.096,0.16,0.049,0.9982,0.319,0.7,1,7
0.56,0.85,0.05,0.14,0.045,0.12,0.088,0.9924,0.356,0.82,1.29,8
1.37,0.415,0.68,0.29,0.085,0.17,0.043,1.0014,0.306,0.8,1,6
0.95,0.37,0.52,0.2,0.082,0.06,0.026,0.998,0.318,0.51,0.95,5
0.84,0.665,0.61,0.2,0.112,0.13,0.095,0.997,0.316,0.54,0.91,5
1.27,0.6,0.65,0.23,0.063,0.06,0.025,0.9997,0.303,0.57,0.99,5
1.2,0.37,0.76,0.42,0.066,0.07,0.038,1.0004,0.322,0.6,1.3,7
0.66,0.735,0.02,0.79,0.122,0.68,0.124,0.9994,0.347,0.53,0.99,5
1.15,0.59,0.59,0.26,0.087,0.13,0.049,0.9988,0.318,0.65,1.1,6
1.15,0.59,0.59,0.26,0.087,0.13,0.049,0.9988,0.318,0.65,1.1,6
0.87,0.765,0.22,0.23,0.064,0.09,0.042,0.9963,0.31,0.55,0.94,5
0.66,0.735,0.02,0.79,0.122,0.68,0.124,0.9994,0.347,0.53,0.99,5
0.77,0.26,0.3,0.17,0.059,0.2,0.038,0.9949,0.329,0.47,1.08,6
1.22,0.48,0.54,0.26,0.085,0.19,0.064,1,0.31,0.61,1.05,6
1.14,0.6,0.49,0.27,0.085,0.1,0.041,0.9994,0.315,0.63,1.05,6
0.77,0.69,0.05,0.27,0.075,0.15,0.027,0.9974,0.326,0.61,0.91,5
0.87,0.31,0.46,0.14,0.059,0.11,0.025,0.9966,0.336,0.76,1.01,6
0.98,0.44,0.47,0.25,0.063,0.09,0.028,0.9981,0.324,0.65,1.08,6
1.2,0.39,0.66,0.3,0.093,0.12,0.03,0.9996,0.318,0.63,1.08,7
1.04,0.34,0.58,0.37,0.174,0.06,0.016,0.997,0.319,0.7,1.13,6
1.25,0.46,0.49,0.45,0.07,0.26,0.049,0.9981,0.305,0.57,0.96,4
0.9,0.43,0.34,0.25,0.08,0.26,0.086,0.9987,0.338,0.62,0.95,6
0.91,0.45,0.35,0.24,0.08,0.23,0.078,0.9987,0.338,0.62,0.95,5
0.71,0.735,0.16,0.19,0.1,0.15,0.077,0.9966,0.327,0.64,0.93,5
0.99,0.4,0.53,0.67,0.097,0.06,0.019,0.9986,0.327,0.82,1.17,7
0.88,0.52,0.34,0.27,0.087,0.24,0.122,0.9982,0.326,0.61,0.95,5
0.86,0.725,0.24,0.66,0.117,0.31,0.134,1.0014,0.332,1.07,0.93,5
1.06,0.48,0.64,0.22,0.111,0.06,0.02,0.997,0.326,0.66,1.17,6
0.7,0.58,0.12,0.19,0.091,0.34,0.124,0.9956,0.344,0.48,1.05,5
1.19,0.38,0.51,0.2,0.121,0.07,0.02,0.9996,0.324,0.76,1.04,6
0.68,0.77,0,0.18,0.066,0.34,0.052,0.9976,0.362,0.68,0.99,5
0.95,0.56,0.33,0.24,0.089,0.35,0.067,0.9972,0.328,0.73,1.18,7
0.66,0.84,0.03,0.23,0.059,0.32,0.048,0.9952,0.352,0.56,1.23,7
0.77,0.96,0.2,0.2,0.047,0.15,0.06,0.9955,0.336,0.44,1.09,5
1.05,0.24,0.47,0.21,0.066,0.06,0.024,0.9978,0.315,0.9,1.1,7
0.77,0.96,0.2,0.2,0.047,0.15,0.06,0.9955,0.336,0.44,1.09,5
0.66,0.84,0.03,0.23,0.059,0.32,0.048,0.9952,0.352,0.56,1.23,7
0.64,0.67,0.08,0.21,0.045,0.19,0.048,0.9949,0.349,0.49,1.14,6
0.95,0.78,0.22,0.19,0.077,0.06,0.032,0.9988,0.326,0.56,1.06,6
0.91,0.52,0.33,0.13,0.07,0.09,0.03,0.9978,0.324,0.6,0.93,5
1.28,0.84,0.63,0.24,0.088,0.13,0.035,0.9997,0.31,0.6,1.04,6
1.05,0.24,0.47,0.21,0.066,0.06,0.024,0.9978,0.315,0.9,1.1,7
0.78,0.55,0.35,0.22,0.074,0.21,0.066,0.9974,0.325,0.56,0.92,5
1.19,0.37,0.69,0.23,0.078,0.12,0.024,0.9958,0.3,0.65,1.28,6
1.23,0.39,0.63,0.23,0.091,0.06,0.018,1.0004,0.316,0.49,0.95,5
1.04,0.41,0.55,0.32,0.076,0.22,0.054,0.9996,0.315,0.89,0.99,6
1.23,0.39,0.63,0.23,0.091,0.06,0.018,1.0004,0.316,0.49,0.95,5
0.8,0.67,0.3,0.2,0.06,0.38,0.062,0.9958,0.326,0.56,1.02,6
1.11,0.45,0.73,0.32,0.066,0.06,0.022,0.9986,0.317,0.66,1.12,6
1.04,0.41,0.55,0.32,0.076,0.22,0.054,0.9996,0.315,0.89,0.99,6
0.7,0.62,0.18,0.15,0.062,0.07,0.05,0.9951,0.308,0.6,0.93,5
1.26,0.31,0.72,0.22,0.072,0.06,0.029,0.9987,0.288,0.82,0.98,8
1.19,0.4,0.65,0.215,0.068,0.07,0.027,0.9988,0.306,0.68,1.13,6
1.56,0.685,0.76,0.37,0.1,0.06,0.043,1.0032,0.295,0.68,1.12,7
1,0.44,0.49,0.27,0.077,0.11,0.019,0.9963,0.323,0.63,1.16,7
0.53,0.57,0.01,0.17,0.054,0.05,0.027,0.9934,0.357,0.84,1.25,7
0.95,0.735,0.1,0.21,0.079,0.06,0.031,0.9986,0.323,0.56,1.01,6
1.25,0.38,0.6,0.26,0.081,0.31,0.072,0.9996,0.31,0.73,1.05,5
0.93,0.48,0.29,0.21,0.127,0.06,0.016,0.9968,0.322,0.72,1.12,5
0.86,0.53,0.22,0.2,0.1,0.07,0.027,0.9967,0.32,0.56,1.02,6
1.19,0.39,0.69,0.28,0.095,0.17,0.035,0.9994,0.31,0.61,1.08,6
1.19,0.39,0.69,0.28,0.095,0.17,0.035,0.9994,0.31,0.61,1.08,6
0.84,0.37,0.53,0.18,0.413,0.09,0.026,0.9979,0.306,1.06,0.91,6
0.68,0.56,0.03,0.17,0.084,0.18,0.035,0.9968,0.344,0.63,1,6
1.04,0.33,0.63,0.28,0.084,0.05,0.022,0.9998,0.326,0.74,1.12,7
0.7,0.23,0.4,0.16,0.063,0.21,0.067,0.9952,0.35,0.63,1.11,5
1.13,0.62,0.67,0.52,0.086,0.06,0.019,0.9988,0.322,0.69,1.34,8
0.89,0.59,0.39,0.23,0.095,0.05,0.022,0.9986,0.337,0.58,1.03,5
0.92,0.63,0.21,0.27,0.097,0.29,0.065,0.9988,0.328,0.58,0.96,5
1.04,0.33,0.63,0.28,0.084,0.05,0.022,0.9998,0.326,0.74,1.12,7
1.16,0.58,0.66,0.22,0.074,0.1,0.047,1.0008,0.325,0.57,0.9,3
0.92,0.43,0.52,0.23,0.083,0.14,0.023,0.9976,0.335,0.61,1.13,6
0.83,0.615,0.22,0.26,0.087,0.06,0.019,0.9982,0.326,0.61,0.93,5
1.1,0.26,0.68,0.255,0.085,0.1,0.025,0.997,0.318,0.61,1.18,5
0.81,0.66,0.7,0.22,0.098,0.25,0.129,0.9972,0.308,0.53,0.9,5
1.15,0.315,0.54,0.21,0.084,0.05,0.015,0.9987,0.298,0.7,0.92,6
1,0.29,0.4,0.29,0.098,0.1,0.026,1.0006,0.348,0.91,0.97,5
1.03,0.5,0.42,0.2,0.069,0.21,0.051,0.9982,0.316,0.72,1.15,6
0.88,0.46,0.45,0.26,0.065,0.07,0.018,0.9947,0.332,0.79,1.4,6
1.14,0.36,0.69,0.21,0.09,0.06,0.021,1,0.317,0.62,0.92,6
0.87,0.82,0.02,0.12,0.07,0.36,0.048,0.9952,0.32,0.58,0.98,5
1.3,0.32,0.65,0.26,0.093,0.15,0.047,0.9996,0.305,0.61,1.06,5
0.96,0.54,0.42,0.24,0.081,0.25,0.052,0.997,0.32,0.71,1.14,6
1.25,0.37,0.55,0.26,0.083,0.25,0.068,0.9995,0.315,0.82,1.04,6
0.99,0.35,0.55,0.21,0.062,0.05,0.014,0.9971,0.326,0.79,1.06,5
1.05,0.28,0.51,0.17,0.08,0.1,0.024,0.9982,0.32,0.89,0.94,6
0.96,0.68,0.24,0.22,0.087,0.05,0.028,0.9988,0.314,0.6,1.02,5
0.93,0.27,0.41,0.2,0.091,0.06,0.016,0.998,0.328,0.7,0.97,5
1.04,0.24,0.49,0.18,0.075,0.06,0.02,0.9977,0.318,1.06,1.1,6
0.96,0.68,0.24,0.22,0.087,0.05,0.028,0.9988,0.314,0.6,1.02,5
0.94,0.685,0.11,0.27,0.077,0.06,0.031,0.9984,0.319,0.7,1.01,6
1.06,0.28,0.39,1.55,0.069,0.06,0.023,1.0026,0.312,0.66,0.92,5
0.94,0.3,0.56,0.28,0.08,0.06,0.017,0.9964,0.315,0.92,1.17,8
1.06,0.36,0.59,0.22,0.152,0.06,0.018,0.9986,0.304,1.05,0.94,5
1.06,0.36,0.6,0.22,0.152,0.07,0.018,0.9986,0.304,1.06,0.94,5
1.06,0.44,0.68,0.41,0.114,0.06,0.024,0.997,0.306,0.66,1.34,6
1.02,0.67,0.39,0.19,0.054,0.06,0.017,0.9976,0.317,0.47,1,5
1.02,0.67,0.39,0.19,0.054,0.06,0.017,0.9976,0.317,0.47,1,5
1.02,0.645,0.36,0.18,0.053,0.05,0.014,0.9982,0.317,0.42,1,6
1.16,0.32,0.55,0.28,0.081,0.35,0.067,1.0002,0.332,0.92,1.08,7
0.93,0.39,0.4,0.26,0.073,0.1,0.026,0.9984,0.334,0.75,1.02,6
0.93,0.775,0.27,0.28,0.078,0.24,0.056,0.9984,0.331,0.67,1.06,6
0.92,0.41,0.5,0.25,0.055,0.12,0.025,0.9952,0.334,0.79,1.33,7
0.89,0.4,0.51,0.26,0.052,0.13,0.027,0.995,0.332,0.9,1.34,7
0.87,0.69,0.31,0.3,0.086,0.23,0.081,1.0002,0.348,0.74,1.16,6
0.65,0.39,0.23,0.83,0.051,0.28,0.091,0.9952,0.344,0.55,1.21,6
1.07,0.35,0.53,0.26,0.07,0.05,0.016,0.9972,0.315,0.65,1.1,8
0.78,0.52,0.25,0.19,0.081,0.14,0.038,0.9984,0.343,0.65,0.9,6
0.72,0.34,0.32,0.25,0.09,0.43,0.113,0.9966,0.332,0.79,1.11,5
1.07,0.35,0.53,0.26,0.07,0.05,0.016,0.9972,0.315,0.65,1.1,8
0.87,0.69,0.31,0.3,0.086,0.23,0.081,1.0002,0.348,0.74,1.16,6
0.78,0.52,0.25,0.19,0.081,0.14,0.038,0.9984,0.343,0.65,0.9,6
1.04,0.44,0.73,0.655,0.074,0.38,0.076,0.999,0.317,0.85,1.2,7
1.04,0.44,0.73,0.655,0.074,0.38,0.076,0.999,0.317,0.85,1.2,7
1.05,0.26,0.47,0.19,0.078,0.06,0.024,0.9976,0.318,1.04,1.09,7
1.05,0.24,0.42,0.18,0.077,0.06,0.022,0.9976,0.321,1.05,1.08,7
1.02,0.49,0.63,0.29,0.072,0.1,0.026,0.9968,0.316,0.78,1.25,7
1.04,0.24,0.46,0.18,0.075,0.06,0.021,0.9976,0.325,1.02,1.08,7
1.12,0.67,0.55,0.23,0.084,0.06,0.013,1,0.317,0.71,0.95,6
1,0.59,0.31,0.22,0.09,0.26,0.062,0.9994,0.318,0.63,1.02,6
1.33,0.29,0.75,0.28,0.084,0.23,0.043,0.9986,0.304,0.68,1.14,7
1.24,0.42,0.49,0.46,0.073,0.19,0.043,0.9978,0.302,0.61,0.95,5
1,0.59,0.31,0.22,0.09,0.26,0.062,0.9994,0.318,0.63,1.02,6
1.07,0.4,0.48,0.21,0.125,0.15,0.049,0.998,0.303,0.81,0.97,6
1.05,0.51,0.64,0.24,0.107,0.06,0.015,0.9973,0.309,0.66,1.18,7
1.05,0.51,0.64,0.24,0.107,0.06,0.015,0.9973,0.309,0.66,1.18,7
0.85,0.655,0.49,0.61,0.122,0.34,0.151,1.001,0.331,1.14,0.93,5
1.25,0.6,0.49,0.43,0.1,0.05,0.014,1.001,0.325,0.74,1.19,6
1.04,0.61,0.49,0.21,0.2,0.05,0.016,0.9994,0.316,0.63,0.84,3
1.09,0.21,0.49,0.28,0.088,0.11,0.032,0.9972,0.322,0.68,1.17,6
0.73,0.365,0.49,0.25,0.088,0.39,0.106,0.9966,0.336,0.78,1.1,5
0.98,0.25,0.49,0.27,0.088,0.15,0.033,0.9982,0.342,0.9,1,6
0.76,0.41,0.49,0.2,0.088,0.16,0.043,0.998,0.348,0.64,0.91,5
0.82,0.39,0.49,0.23,0.099,0.47,0.133,0.9979,0.338,0.99,0.98,5
0.93,0.4,0.49,0.25,0.085,0.38,0.142,0.9978,0.322,0.55,0.94,5
0.92,0.43,0.49,0.24,0.086,0.23,0.116,0.9976,0.323,0.64,0.95,5
1.04,0.64,0.24,0.28,0.105,0.29,0.053,0.9998,0.324,0.67,0.99,5
0.73,0.365,0.49,0.25,0.088,0.39,0.106,0.9966,0.336,0.78,1.1,5
0.7,0.38,0.49,0.25,0.097,0.33,0.085,0.9962,0.339,0.77,1.14,6
0.82,0.42,0.49,0.26,0.084,0.32,0.055,0.9988,0.334,0.75,0.87,6
0.99,0.63,0.24,0.24,0.077,0.06,0.033,0.9974,0.309,0.57,0.94,5
0.91,0.22,0.24,0.21,0.078,0.01,0.028,0.999,0.341,0.87,1.03,6
1.19,0.38,0.49,0.27,0.098,0.12,0.042,1.0004,0.316,0.61,1.03,5
1.19,0.38,0.49,0.27,0.098,0.12,0.042,1.0004,0.316,0.61,1.03,5
1.03,0.27,0.24,0.21,0.072,0.15,0.033,0.9956,0.322,0.66,1.28,6
1,0.48,0.24,0.27,0.102,0.13,0.032,1,0.328,0.56,1,6
0.91,0.22,0.24,0.21,0.078,0.01,0.028,0.999,0.341,0.87,1.03,6
0.99,0.63,0.24,0.24,0.077,0.06,0.033,0.9974,0.309,0.57,0.94,5
0.81,0.825,0.24,0.21,0.084,0.05,0.013,0.9972,0.337,0.77,1.07,6
1.29,0.35,0.49,0.58,0.066,0.05,0.035,1.0014,0.32,0.66,1.2,7
1.12,0.5,0.74,0.515,0.1,0.05,0.017,0.9996,0.322,0.62,1.12,5
0.92,0.59,0.24,0.33,0.101,0.2,0.047,0.9988,0.326,0.67,0.96,5
0.95,0.46,0.49,0.63,0.064,0.05,0.017,0.9988,0.321,0.73,1.1,6
0.93,0.715,0.24,0.21,0.07,0.05,0.02,0.9966,0.312,0.59,0.99,5
1.12,0.66,0.24,0.25,0.085,0.16,0.053,0.9993,0.306,0.72,1.1,6
1.43,0.31,0.74,0.18,0.075,0.06,0.015,1.0008,0.286,0.79,0.84,6
0.91,0.47,0.49,0.26,0.094,0.38,0.106,0.9982,0.308,0.59,0.91,5
0.75,0.55,0.24,0.2,0.078,0.1,0.028,0.9983,0.345,0.78,0.95,6
1.06,0.31,0.49,0.25,0.067,0.06,0.021,0.9987,0.326,0.86,1.07,6
1.24,0.35,0.49,0.26,0.079,0.27,0.069,0.9994,0.312,0.75,1.04,6
0.9,0.53,0.49,0.19,0.171,0.06,0.025,0.9975,0.327,0.61,0.94,6
0.68,0.51,0.01,0.21,0.074,0.09,0.025,0.9958,0.333,0.56,0.95,6
0.94,0.43,0.24,0.28,0.092,0.14,0.045,0.998,0.319,0.73,1,6
0.95,0.46,0.24,0.27,0.092,0.14,0.044,0.998,0.312,0.74,1,6
0.5,1.04,0.24,0.16,0.05,0.32,0.096,0.9934,0.374,0.62,1.15,5
1.55,0.645,0.49,0.42,0.095,0.1,0.023,1.00315,0.292,0.74,1.11,5
1.55,0.645,0.49,0.42,0.095,0.1,0.023,1.00315,0.292,0.74,1.11,5
1.09,0.53,0.49,0.46,0.118,0.1,0.017,1.0002,0.307,0.56,1.17,6
1.56,0.645,0.49,0.42,0.095,0.1,0.023,1.00315,0.292,0.74,1.11,5
1.09,0.53,0.49,0.46,0.118,0.1,0.017,1.0002,0.307,0.56,1.17,6
1.3,0.47,0.49,0.43,0.085,0.06,0.047,1.0021,0.33,0.68,1.27,6
1.27,0.6,0.49,0.28,0.075,0.05,0.019,0.9994,0.314,0.57,1.14,5
0.9,0.44,0.49,0.24,0.078,0.26,0.121,0.9978,0.323,0.58,0.92,5
0.9,0.54,0.49,0.29,0.094,0.41,0.11,0.9982,0.308,0.61,0.92,5
0.76,0.29,0.49,0.27,0.092,0.25,0.06,0.9971,0.331,0.61,1.01,6
1.3,0.47,0.49,0.43,0.085,0.06,0.047,1.0021,0.33,0.68,1.27,6
1.27,0.6,0.49,0.28,0.075,0.05,0.019,0.9994,0.314,0.57,1.14,5
0.87,0.7,0.24,0.25,0.226,0.05,0.015,0.9991,0.332,0.6,0.9,6
0.87,0.7,0.24,0.25,0.226,0.05,0.015,0.9991,0.332,0.6,0.9,6
0.98,0.5,0.49,0.26,0.25,0.05,0.02,0.999,0.331,0.79,1.07,6
0.62,0.36,0.24,0.22,0.095,0.19,0.042,0.9946,0.357,0.57,1.17,6
1.15,0.35,0.49,0.33,0.07,0.1,0.037,1.0003,0.332,0.91,1.1,6
0.62,0.36,0.24,0.22,0.095,0.19,0.042,0.9946,0.357,0.57,1.17,6
1.02,0.24,0.49,0.24,0.075,0.1,0.028,0.9978,0.314,0.61,1.04,5
1.05,0.59,0.49,0.21,0.07,0.14,0.047,0.9991,0.33,0.56,0.96,4
1.06,0.34,0.49,0.32,0.078,0.2,0.078,0.9992,0.319,0.7,1,6
1.23,0.27,0.49,0.31,0.079,0.28,0.046,0.9993,0.32,0.8,1.02,6
0.99,0.5,0.24,0.23,0.103,0.06,0.014,0.9978,0.334,0.52,1,4
0.88,0.44,0.49,0.28,0.083,0.18,0.111,0.9982,0.33,0.6,0.95,5
0.88,0.47,0.49,0.29,0.085,0.17,0.11,0.9982,0.329,0.6,0.98,5
1.06,0.31,0.49,0.22,0.063,0.18,0.04,0.9976,0.314,0.51,0.98,6
1.23,0.5,0.49,0.22,0.089,0.05,0.014,1.0002,0.319,0.44,0.96,5
1.23,0.5,0.49,0.22,0.089,0.05,0.014,1.0002,0.319,0.44,0.96,5
1.17,0.49,0.49,0.22,0.083,0.05,0.015,1,0.319,0.43,0.92,5
1.2,0.28,0.49,0.19,0.074,0.1,0.021,0.9976,0.298,0.66,0.99,7
1.18,0.33,0.49,0.34,0.093,0.54,0.08,1.0002,0.33,0.76,1.07,7
0.76,0.51,0.24,0.24,0.091,0.08,0.038,0.998,0.347,0.66,0.96,6
1.11,0.31,0.49,0.27,0.094,0.16,0.047,0.9986,0.312,1.02,1.06,7
0.73,0.73,0.24,0.19,0.108,0.18,0.102,0.9967,0.326,0.59,0.93,5
0.5,0.42,0.24,0.2,0.06,0.19,0.05,0.9917,0.372,0.74,1.4,8
1.02,0.29,0.49,0.26,0.059,0.05,0.013,0.9976,0.305,0.74,1.05,7
0.9,0.45,0.49,0.26,0.084,0.21,0.075,0.9987,0.335,0.57,0.97,5
0.66,0.39,0.49,0.17,0.07,0.23,0.149,0.9922,0.312,0.5,1.15,6
0.9,0.45,0.49,0.26,0.084,0.21,0.075,0.9987,0.335,0.57,0.97,5
0.99,0.49,0.58,0.35,0.094,0.09,0.043,1.0004,0.329,0.58,0.9,5
0.79,0.72,0.17,0.26,0.096,0.2,0.038,0.9978,0.34,0.53,0.95,5
